cluster_id,entity_id,structure_id,label_asym_id,length,resolution,coordinate_coverage,sequence_sha256,mmcif_path,mmcif_sha256,selection_seed
4B6I_1,4B6I_1,4B6I,C,102,1.95,1.0,749028b48696248729f99ff9e33a073936d2d169d0423891855da048a9163d4f,mmcif/4B6I.cif,539d79dc7529b6041da4c4a0c10991b8dd540bba338f47965a7cf69329bbe136,20260822
1KPT_1,1KPT_1,1KPT,A,105,1.75,1.0,db7a9b0ed0ffb38df26c44be2c813d910f8fdbb752cbf1b9c11aab4628c5bbb9,mmcif/1KPT.cif,38dcb1d110760d87de6e5a0ae66b2cc7c38bcb7cdcf64eba5c0984fbc35bd001,20260822
3AG7_1,3AG7_1,3AG7,A,106,1.8,0.9905660377358491,34a6a2943d4d5d18533369adfb05eeac7390128a96ca13e8b9f09eb47ae750b5,mmcif/3AG7.cif,5d2667e6f7252da12e2c375b0b1ab205cee638235d5986cc48419c406ae6ef2f,20260822
5UIY_1,7QYO_1,7QYO,A,106,0.983,1.0,4d744b2d7b526ba2c0b27ead9377ae741196895196b1caddea5bc387c2b9d35a,mmcif/7QYO.cif,abc2e2797fac61586ef510b06737b574e41f8574e9f4465dd93a74e3347493b5,20260822
3SIC_2,6I0I_1,6I0I,A,108,1.448,1.0,28ef210958f92c6b7d13a64cc3f76beee39d45c98f3608435dac8ad0b7fefe91,mmcif/6I0I.cif,0050f9e606b3a1ea549efcd8c14725590cfa1b24bc3812d34282a7fc681d1f3b,20260822
3GV4_1,3C5K_1,3C5K,A,109,1.55,0.9908256880733946,9e9ad60440ed103a05b7f74c93d98f6002a19aa86046147d2a0faf81743572c0,mmcif/3C5K.cif,c47487c4f6e2c108111469ded9c721ef129b69fe2469b31c61301629fede94b5,20260822
3JSR_1,5M2P_1,5M2P,A,109,1.33,0.9724770642201835,80af78c4b2de4df28d8ef422f9fe4fcc437b37eb075941214fe09545f0b9357a,mmcif/5M2P.cif,b8c58f3dd8ac90ab723163d16939d63d8e8ebb8b2db2918a26cb580d87d03694,20260822
5YXK_1,5YXK_1,5YXK,A,111,1.9,0.990990990990991,1f8f52c0dd4fe678882454a881817b0dfab0109f4c1e4ec3fc32fdeb57c51170,mmcif/5YXK.cif,dc373618da2ab2753a4c36b6d4700e0bb92824f3b4341133e29d0de1139e3a24,20260822
9IW4_1,1KX9_1,1KX9,A,112,1.65,0.9642857142857143,bf55b780c3cc0327f50bf92aa7f4ed4a0385fc1bda13e4fd6036cf446243dabc,mmcif/1KX9.cif,57ac16d05a66605e94791abca38c648ed7884942a9ce95dcf69748be552965d9,20260822
9YIU_1,3B64_1,3B64,A,112,1.03,1.0,7bccb861c0f6fbacccd9afbef28b8add7c12724b9214130f1880a01eb7c0f501,mmcif/3B64.cif,fbb0fdbbad4203a100d18b8242111e444fff4dbc0bcb4e5e5af37af2f7d6a3f8,20260822
4DH4_1,4DH4_1,4DH4,A,114,1.82,1.0,2e699789aa3f538e5e6b4dd7564df490957ed466b2d036323170757c4dcb8a12,mmcif/4DH4.cif,1d6b7d71055d79bbb5dc6ecaefa318d68bbdcb16a1daac73c866e55fa004fdc5,20260822
3C1Q_1,2VMB_1,2VMB,A,123,1.95,0.983739837398374,f2df294fb3301177debe5b174e6e35222f5b713fc629d21b824d6aefc2199b95,mmcif/2VMB.cif,bc58b45c028c1a6bd123a82c2d48155820baae97e72f2b01300f0fbf24a4932f,20260822
9N0J_1,9N0J_1,9N0J,A,127,1.54,0.9921259842519685,11879b447bf85fd6fb2017ffdbbd4ec896475201f78f267d518b68e156bab699,mmcif/9N0J.cif,19b33d105137025cd9bfc6aff4953922d50758b867c801e55fdb21aed008a4dd,20260822
2EGR_1,2EGJ_1,2EGJ,A,128,1.8,0.984375,7f4a2481f72e3321eb8075e770996a51a11853e62fb8bcc4ea1feb1a4a8b7eca,mmcif/2EGJ.cif,5ff858122cdcf78b4f38548aadeb355d249d691ef0104a6e6d0e75e8658db6ef,20260822
7JRQ_1,7JRQ_1,7JRQ,A,131,1.75,0.9694656488549618,0e42ba3a61142b747abb450689aa427c19887b5519679c8864146ced548ae903,mmcif/7JRQ.cif,8ea7fa7a3683e9b9f9db1296f71a57a41e2ff5086ef81bd69d22359f881468a5,20260822
9PVL_1,9PVL_1,9PVL,A,136,1.44,1.0,e3a8539f18afcda5a97aa385d359a0472ae4adb040c5bd113b9d5e915ae05900,mmcif/9PVL.cif,ad1a405482012a39b44270da317a98aaad3936f9e5f03af99662d27a125b6adb,20260822
4W9Z_1,4W9Z_1,4W9Z,A,139,1.3,0.9928057553956835,ae363cf29def965431f106913947ae79340e8a286446fa4f35e7bbe349f4f39b,mmcif/4W9Z.cif,4dc7f90992aef98f20fc78063e9589207b8cee5ce5fbd913069d423def93793e,20260822
7ZNX_1,4IZX_1,4IZX,A,140,1.1,0.9928571428571429,b9b5fc4dd85c8535ebb69c339bea8e5421507a45bd8f4df019b45c8a00d41f4b,mmcif/4IZX.cif,0d6a70467fec8494f75be22b4fe379cf2bd94210d5737efb52c21674a007def7,20260822
1GCW_2,2W72_1,2W72,A,141,1.07,1.0,c22a0ea8b509519da7e863a759768977c260a565f85caaa988627bf0b1cecf2e,mmcif/2W72.cif,c92840fd03dfae0bb5c646d98cd3395ae633a7a6e7911e53a23c1f503d40b723,20260822
2QAC_1,4MZJ_1,4MZJ,A,145,1.474,0.9793103448275862,cdbade7ecf0a529859c431e1b3a7dc0820382a3e7a1e86a74d7ef68b651ebabb,mmcif/4MZJ.cif,0b49588278ce9913a817c3e63ee5bc7f2dd8b9762eb8858d60574a7b516a4b13,20260822
